theta1,theta2,J,J_eps
-2.2653061224489797,-2.142857142857143,0.05961969494819641,0.028862329199910164
-2.2653061224489797,-2.020408163265306,0.05952490493655205,0.02883126400411129
-2.2653061224489797,-1.8979591836734695,0.05943392589688301,0.028801310807466507
-2.2653061224489797,-1.7755102040816326,0.059346746653318405,0.028772473335266113
-2.2653061224489797,-1.653061224489796,0.05926336720585823,0.028744744136929512
-2.2653061224489797,-1.5306122448979593,0.059183791279792786,0.02871812880039215
-2.2653061224489797,-1.4081632653061225,0.05910802632570267,0.02869262546300888
-2.2653061224489797,-1.2857142857142858,0.05903605744242668,0.028668228536844254
-2.2653061224489797,-1.163265306122449,0.05896788835525513,0.028644949197769165
-2.2653061224489797,-1.0408163265306123,0.058903519064188004,0.02862277813255787
-2.2653061224489797,-0.9183673469387754,0.05884294956922531,0.028601720929145813
-2.2653061224489797,-0.795918367346939,0.05878617614507675,0.028581775724887848
-2.2653061224489797,-0.6734693877551021,0.05873321369290352,0.028562938794493675
-2.2653061224489797,-0.5510204081632653,0.05868405103683472,0.028545215725898743
-2.2653061224489797,-0.4285714285714288,0.05863867700099945,0.028528602793812752
-2.2653061224489797,-0.30612244897959195,0.058597106486558914,0.028513099998235703
-2.2653061224489797,-0.18367346938775508,0.05855933204293251,0.028498709201812744
-2.2653061224489797,-0.06122448979591866,0.05852535739541054,0.028485428541898727
-2.2653061224489797,0.06122448979591821,0.058495182543992996,0.028473258018493652
-2.2653061224489797,0.18367346938775508,0.058468807488679886,0.028462203219532967
-2.2653061224489797,0.30612244897959195,0.05844622850418091,0.028452254831790924
-2.2653061224489797,0.4285714285714284,0.05842745304107666,0.02844342216849327
-2.2653061224489797,0.5510204081632653,0.058412473648786545,0.02843569591641426
-2.2653061224489797,0.6734693877551021,0.05840129032731056,0.02842908352613449
-2.2653061224489797,0.7959183673469385,0.05839391052722931,0.028423579409718513
-2.2653061224489797,0.9183673469387754,0.05839033052325249,0.028419189155101776
-2.2653061224489797,1.0408163265306118,0.058390550315380096,0.02841590717434883
-2.2653061224489797,1.1632653061224492,0.05839456990361214,0.028413742780685425
-2.2653061224489797,1.2857142857142856,0.05840239301323891,0.028412682935595512
-2.2653061224489797,1.408163265306122,0.05841401591897011,0.02841274067759514
-2.2653061224489797,1.5306122448979593,0.05842943489551544,0.02841390296816826
-2.2653061224489797,1.6530612244897958,0.0584486685693264,0.02841617912054062
-2.2653061224489797,1.7755102040816322,0.05847169831395149,0.02841957099735737
-2.2653061224489797,1.8979591836734695,0.058498531579971313,0.02842407114803791
-2.2653061224489797,2.020408163265306,0.05852916091680527,0.028429685160517693
-2.2653061224489797,2.1428571428571423,0.058563608676195145,0.028436411172151566
-2.2653061224489797,2.2653061224489797,0.05860185623168945,0.02844424732029438
-2.2653061224489797,2.387755102040816,0.05864391103386879,0.028453201055526733
-2.2653061224489797,2.5102040816326525,0.05868977680802345,0.02846326120197773
